Item,Condition,Scalar,Subject,Are,Target
26,all_UI,All,chisels,are,tools
26,some_F,Some,chisels,are,tools
26,all_F,All,chisels,are,insects
27,some_UI,Some,cockroaches,are,insects
27,all_UI,All,cockroaches,are,insects
27,some_F,Some,cockroaches,are,tools
27,all_F,All,cockroaches,are,fruit
28,some_UI,Some,cod,are,fish
28,all_UI,All,cod,are,fish
28,some_F,Some,cod,are,flowers
28,all_F,All,cod,are,dogs
29,some_UI,Some,cows,are,mammals
29,all_UI,All,cows,are,mammals
29,some_F,Some,cows,are,trees
29,all_F,All,cows,are,insects
30,some_UI,Some,crickets,are,insects
30,all_UI,All,crickets,are,insects
30,some_F,Some,crickets,are,tools
30,all_F,All,crickets,are,fruit
31,some_UI,Some,crocodiles,are,reptiles
31,all_UI,All,crocodiles,are,reptiles
31,some_F,Some,crocodiles,are,weapons
31,all_F,All,crocodiles,are,trees
32,some_UI,Some,crossbows,are,weapons
32,all_UI,All,crossbows,are,weapons
32,some_F,Some,crossbows,are,birds
32,all_F,All,crossbows,are,reptiles
33,some_UI,Some,crowbars,are,tools
33,all_UI,All,crowbars,are,tools
33,some_F,Some,crowbars,are,tools
33,all_F,All,crowbars,are,insects
34,some_UI,Some,crows,are,birds
34,all_UI,All,crows,are,birds
34,some_F,Some,crows,are,cars
34,all_F,All,crows,are,weapons
35,some_UI,Some,daffodils,are,flowers
35,all_UI,All,daffodils,are,flowers
35,some_F,Some,daffodils,are,fruit
35,all_F,All,daffodils,are,fish
36,some_UI,Some,daggers,are,weapons
36,all_UI,All,daggers,are,weapons
36,some_F,Some,daggers,are,birds
36,all_F,All,daggers,are,reptiles
37,some_UI,Some,daisies,are,flowers
37,all_UI,All,daisies,are,flowers
37,some_F,Some,daisies,are,fruit
37,all_F,All,daisies,are,fish
38,some_UI,Some,dalmatians,are,dogs
38,all_UI,All,dalmatians,are,dogs
38,some_F,Some,dalmatians,are,fish
38,all_F,All,dalmatians,are,cars
39,some_UI,Some,dandelion,are,flowers
39,all_UI,All,dandelion,are,flowers
39,some_F,Some,dandelion,are,fruit
39,all_F,All,dandelion,are,fish
40,some_UI,Some,deer,are,mammals
40,all_UI,All,deer,are,mammals
40,some_F,Some,deer,are,trees
40,all_F,All,deer,are,insects
41,some_UI,Some,doves,are,birds
41,all_UI,All,doves,are,birds
41,some_F,Some,doves,are,cars
41,all_F,All,doves,are,weapons
42,some_UI,Some,drills,are,tools
42,all_UI,All,drills,are,tools
42,some_F,Some,drills,are,tools
42,all_F,All,drills,are,insects
43,some_UI,Some,eagles,are,birds
43,all_UI,All,eagles,are,birds
43,some_F,Some,eagles,are,cars
43,all_F,All,eagles,are,weapons
44,some_UI,Some,elephants,are,mammals
44,all_UI,All,elephants,are,mammals
44,some_F,Some,elephants,are,trees
44,all_F,All,elephants,are,insects
45,some_UI,Some,elms,are,trees
45,all_UI,All,elms,are,trees
45,some_F,Some,elms,are,reptiles
45,all_F,All,elms,are,mammals
46,some_UI,Some,Ferraris,are,cars
46,all_UI,All,Ferraris,are,cars
46,some_F,Some,Ferraris,are,dogs
46,all_F,All,Ferraris,are,birds
47,some_UI,Some,firs,are,trees
47,all_UI,All,firs,are,trees
47,some_F,Some,firs,are,reptiles
47,all_F,All,firs,are,mammals
48,some_UI,Some,flamingoes,are,birds
48,all_UI,All,flamingoes,are,birds
48,some_F,Some,flamingoes,are,cars
48,all_F,All,flamingoes,are,weapons
49,some_UI,Some,fleas,are,insects
49,all_UI,All,fleas,are,insects
49,some_F,Some,fleas,are,tools
49,all_F,All,fleas,are,fruit
50,some_UI,Some,flies,are,insects
50,all_UI,All,flies,are,insects
50,some_F,Some,flies,are,tools
50,all_F,All,flies,are,fruit
51,some_UI,Some,flounders,are,fish
51,all_UI,All,flounders,are,fish
51,some_F,Some,flounders,are,flowers
51,all_F,All,flounders,are,dogs
52,some_UI,Some,Fords,are,cars
52,all_UI,All,Fords,are,cars
52,some_F,Some,Fords,are,dogs
52,all_F,All,Fords,are,birds
53,some_UI,Some,foxes,are,mammals
53,all_UI,All,foxes,are,mammals
53,some_F,Some,foxes,are,trees
53,all_F,All,foxes,are,insects
54,some_UI,Some,gardenias,are,flowers
54,all_UI,All,gardenias,are,flowers
54,some_F,Some,gardenias,are,fruit
54,all_F,All,gardenias,are,fish
55,some_UI,Some,geckos,are,reptiles
55,all_UI,All,geckos,are,reptiles
55,some_F,Some,geckos,are,weapons
55,all_F,All,geckos,are,trees
56,some_UI,Some,goats,are,mammals
56,all_UI,All,goats,are,mammals
56,some_F,Some,goats,are,trees
56,all_F,All,goats,are,insects
57,some_UI,Some,grapes,are,fruit
57,all_UI,All,grapes,are,fruit
57,some_F,Some,grapes,are,insects
57,all_F,All,grapes,are,flowers
58,some_UI,Some,grenades,are,weapons
58,all_UI,All,grenades,are,weapons
58,some_F,Some,grenades,are,birds
58,all_F,All,grenades,are,reptiles
59,some_UI,Some,guns,are,weapons
59,all_UI,All,guns,are,weapons
59,some_F,Some,guns,are,birds
59,all_F,All,guns,are,reptiles
60,some_UI,Some,haddock,are,fish
60,all_UI,All,haddock,are,fish
60,some_F,Some,haddock,are,flowers
60,all_F,All,haddock,are,dogs
61,some_UI,Some,halibut,are,fish
,all_UI,All,halibut,are,fish
,some_F,Some,halibut,are,flowers
,all_F,All,halibut,are,dogs
62,some_UI,Some,hammers,are,tools
,all_UI,All,hammers,are,tools
,some_F,Some,hammers,are,tools
,all_F,All,hammers,are,insects
63,some_UI,Some,hawks,are,birds
,all_UI,All,hawks,are,birds
,some_F,Some,hawks,are,cars
,all_F,All,hawks,are,weapons
64,some_UI,Some,herring,are,fish
,all_UI,All,herring,are,fish
,some_F,Some,herring,are,flowers
,all_F,All,herring,are,dogs
65,some_UI,Some,horses,are,mammals
,all_UI,All,horses,are,mammals
,some_F,Some,horses,are,trees
,all_F,All,horses,are,insects
66,some_UI,Some,hounds,are,dogs
,all_UI,All,hounds,are,dogs
,some_F,Some,hounds,are,fish
,all_F,All,hounds,are,cars
67,some_UI,Some,huskies,are,dogs
,all_UI,All,huskies,are,dogs
,some_F,Some,huskies,are,fish
,all_F,All,huskies,are,cars
68,some_UI,Some,iguanas,are,reptiles
,all_UI,All,iguanas,are,reptiles
,some_F,Some,iguanas,are,weapons
,all_F,All,iguanas,are,trees
69,some_UI,Some,kiwis,are,fruit
,all_UI,All,kiwis,are,fruit
,some_F,Some,kiwis,are,insects
,all_F,All,kiwis,are,flowers
70,some_UI,Some,knives,are,weapons
,all_UI,All,knives,are,weapons
,some_F,Some,knives,are,birds
,all_F,All,knives,are,reptiles
71,some_UI,Some,labradors,are,dogs
,all_UI,All,labradors,are,dogs
,some_F,Some,labradors,are,fish
,all_F,All,labradors,are,cars
72,some_UI,Some,lilacs,are,flowers
,all_UI,All,lilacs,are,flowers
,some_F,Some,lilacs,are,fruit
,all_F,All,lilacs,are,fish
73,some_UI,Some,lilies,are,flowers
,all_UI,All,lilies,are,flowers
,some_F,Some,lilies,are,fruit
,all_F,All,lilies,are,fish
74,some_UI,Some,lizards,are,reptiles
,all_UI,All,lizards,are,reptiles
,some_F,Some,lizards,are,weapons
,all_F,All,lizards,are,trees
75,some_UI,Some,mackerel,are,fish
,all_UI,All,mackerel,are,fish
,some_F,Some,mackerel,are,flowers
,all_F,All,mackerel,are,dogs
76,some_UI,Some,mallets,are,tools
,all_UI,All,mallets,are,tools
,some_F,Some,mallets,are,tools
,all_F,All,mallets,are,insects
77,some_UI,Some,mangoes,are,fruit
,all_UI,All,mangoes,are,fruit
,some_F,Some,mangoes,are,insects
,all_F,All,mangoes,are,flowers
78,some_UI,Some,maples,are,trees
,all_UI,All,maples,are,trees
,some_F,Some,maples,are,reptiles
,all_F,All,maples,are,mammals
79,some_UI,Some,melons,are,fruit
,all_UI,All,melons,are,fruit
,some_F,Some,melons,are,insects
,all_F,All,melons,are,flowers
80,some_UI,Some,Mercedes,are,cars
,all_UI,All,Mercedes,are,cars
,some_F,Some,Mercedes,are,dogs
,all_F,All,Mercedes,are,birds
81,some_UI,Some,missiles,are,weapons
,all_UI,All,missiles,are,weapons
,some_F,Some,missiles,are,birds
,all_F,All,missiles,are,reptiles
82,some_UI,Some,mosquitos,are,insects
,all_UI,All,mosquitos,are,insects
,some_F,Some,mosquitos,are,tools
,all_F,All,mosquitos,are,fruit
83,some_UI,Some,moths,are,insects
,all_UI,All,moths,are,insects
,some_F,Some,moths,are,tools
,all_F,All,moths,are,fruit
84,some_UI,Some,oaks,are,trees
,all_UI,All,oaks,are,trees
,some_F,Some,oaks,are,reptiles
,all_F,All,oaks,are,mammals
85,some_UI,Some,oranges,are,fruit
,all_UI,All,oranges,are,fruit
,some_F,Some,oranges,are,insects
,all_F,All,oranges,are,flowers
86,some_UI,Some,orchids,are,flowers
,all_UI,All,orchids,are,flowers
,some_F,Some,orchids,are,fruit
,all_F,All,orchids,are,fish
87,some_UI,Some,owls,are,birds
,all_UI,All,owls,are,birds
,some_F,Some,owls,are,cars
,all_F,All,owls,are,weapons
88,some_UI,Some,parrots,are,birds
,all_UI,All,parrots,are,birds
,some_F,Some,parrots,are,cars
,all_F,All,parrots,are,weapons
89,some_UI,Some,peaches,are,fruit
,all_UI,All,peaches,are,fruit
,some_F,Some,peaches,are,insects
,all_F,All,peaches,are,flowers
90,some_UI,Some,pears,are,fruit
,all_UI,All,pears,are,fruit
,some_F,Some,pears,are,insects
,all_F,All,pears,are,flowers
91,some_UI,Some,petunias,are,flowers
,all_UI,All,petunias,are,flowers
,some_F,Some,petunias,are,fruit
,all_F,All,petunias,are,fish
92,some_UI,Some,pick-axes,are,tools
,all_UI,All,pick-axes,are,tools
,some_F,Some,pick-axes,are,tools
,all_F,All,pick-axes,are,insects
93,some_UI,Some,pigeons,are,birds
,all_UI,All,pigeons,are,birds
,some_F,Some,pigeons,are,cars
,all_F,All,pigeons,are,weapons
94,some_UI,Some,pigs,are,mammals
,all_UI,All,pigs,are,mammals
,some_F,Some,pigs,are,trees
,all_F,All,pigs,are,insects
95,some_UI,Some,pineapples,are,fruit
,all_UI,All,pineapples,are,fruit
,some_F,Some,pineapples,are,insects
,all_F,All,pineapples,are,flowers
96,some_UI,Some,pines,are,trees
,all_UI,All,pines,are,trees
,some_F,Some,pines,are,reptiles
,all_F,All,pines,are,mammals
97,some_UI,Some,piranhas,are,fish
,all_UI,All,piranhas,are,fish
,some_F,Some,piranhas,are,flowers
,all_F,All,piranhas,are,dogs
98,some_UI,Some,pistols,are,weapons
,all_UI,All,pistols,are,weapons
,some_F,Some,pistols,are,birds
,all_F,All,pistols,are,reptiles
99,some_UI,Some,pliers,are,tools
,all_UI,All,pliers,are,tools
,some_F,Some,pliers,are,tools
,all_F,All,pliers,are,insects
100,some_UI,Some,poinsettias,are,flowers
,all_UI,All,poinsettias,are,flowers
,some_F,Some,poinsettias,are,fruit
,all_F,All,poinsettias,are,fish
101,some_UI,Some,poodles,are,dogs
,all_UI,All,poodles,are,dogs
,some_F,Some,poodles,are,fish
,all_F,All,poodles,are,cars
102,some_UI,Some,Porsches,are,cars
,all_UI,All,Porsches,are,cars
,some_F,Some,Porsches,are,dogs
,all_F,All,Porsches,are,birds
103,some_UI,Some,pugs,are,dogs
,all_UI,All,pugs,are,dogs
,some_F,Some,pugs,are,fish
,all_F,All,pugs,are,cars
104,some_UI,Some,pythons,are,reptiles
,all_UI,All,pythons,are,reptiles
,some_F,Some,pythons,are,weapons
,all_F,All,pythons,are,trees
105,some_UI,Some,rabbits,are,mammals
,all_UI,All,rabbits,are,mammals
,some_F,Some,rabbits,are,trees
,all_F,All,rabbits,are,insects
106,some_UI,Some,raspberries,are,fruit
,all_UI,All,raspberries,are,fruit
,some_F,Some,raspberries,are,insects
,all_F,All,raspberries,are,flowers
107,some_UI,Some,rattlesnakes,are,reptiles
,all_UI,All,rattlesnakes,are,reptiles
,some_F,Some,rattlesnakes,are,weapons
,all_F,All,rattlesnakes,are,trees
108,some_UI,Some,redwoods,are,trees
,all_UI,All,redwoods,are,trees
,some_F,Some,redwoods,are,reptiles
,all_F,All,redwoods,are,mammals
109,some_UI,Some,retrievers,are,dogs
,all_UI,All,retrievers,are,dogs
,some_F,Some,retrievers,are,fish
,all_F,All,retrievers,are,cars
110,some_UI,Some,rifles,are,weapons
,all_UI,All,rifles,are,weapons
,some_F,Some,rifles,are,birds
,all_F,All,rifles,are,reptiles
111,some_UI,Some,robins,are,birds
,all_UI,All,robins,are,birds
,some_F,Some,robins,are,cars
,all_F,All,robins,are,weapons
112,some_UI,Some,roses,are,flowers
,all_UI,All,roses,are,flowers
,some_F,Some,roses,are,fruit
,all_F,All,roses,are,fish
113,some_UI,Some,rottweilers,are,dogs
,all_UI,All,rottweilers,are,dogs
,some_F,Some,rottweilers,are,fish
,all_F,All,rottweilers,are,cars
114,some_UI,Some,salmon,are,fish
,all_UI,All,salmon,are,fish
,some_F,Some,salmon,are,flowers
,all_F,All,salmon,are,dogs
115,some_UI,Some,saws,are,tools
,all_UI,All,saws,are,tools
,some_F,Some,saws,are,tools
,all_F,All,saws,are,insects
116,some_UI,Some,screwdrivers,are,tools
,all_UI,All,screwdrivers,are,tools
,some_F,Some,screwdrivers,are,tools
,all_F,All,screwdrivers,are,insects
117,some_UI,Some,seagulls,are,birds
,all_UI,All,seagulls,are,birds
,some_F,Some,seagulls,are,cars
,all_F,All,seagulls,are,weapons
118,some_UI,Some,sheep,are,mammals
,all_UI,All,sheep,are,mammals
,some_F,Some,sheep,are,trees
,all_F,All,sheep,are,insects
119,some_UI,Some,snakes,are,reptiles
,all_UI,All,snakes,are,reptiles
,some_F,Some,snakes,are,weapons
,all_F,All,snakes,are,trees
120,some_UI,Some,spaniels,are,dogs
,all_UI,All,spaniels,are,dogs
,some_F,Some,spaniels,are,fish
,all_F,All,spaniels,are,cars
121,some_UI,Some,sparrows,are,birds
,all_UI,All,sparrows,are,birds
,some_F,Some,sparrows,are,cars
,all_F,All,sparrows,are,weapons
122,some_UI,Some,spears,are,weapons
,all_UI,All,spears,are,weapons
,some_F,Some,spears,are,birds
,all_F,All,spears,are,reptiles
123,some_UI,Some,spruces,are,trees
,all_UI,All,spruces,are,trees
,some_F,Some,spruces,are,reptiles
,all_F,All,spruces,are,mammals
124,some_UI,Some,stinkbugs,are,insects
,all_UI,All,stinkbugs,are,insects
,some_F,Some,stinkbugs,are,tools
,all_F,All,stinkbugs,are,fruit
125,some_UI,Some,Subarus,are,cars
,all_UI,All,Subarus,are,cars
,some_F,Some,Subarus,are,dogs
,all_F,All,Subarus,are,birds
126,some_UI,Some,swords,are,weapons
,all_UI,All,swords,are,weapons
,some_F,Some,swords,are,birds
,all_F,All,swords,are,reptiles
127,some_UI,Some,sycamores,are,trees
,all_UI,All,sycamores,are,trees
,some_F,Some,sycamores,are,reptiles
,all_F,All,sycamores,are,mammals
128,some_UI,Some,termites,are,insects
,all_UI,All,termites,are,insects
,some_F,Some,termites,are,tools
,all_F,All,termites,are,fruit
129,some_UI,Some,terriers,are,dogs
,all_UI,All,terriers,are,dogs
,some_F,Some,terriers,are,fish
,all_F,All,terriers,are,cars
130,some_UI,Some,tilapia,are,fish
,all_UI,All,tilapia,are,fish
,some_F,Some,tilapia,are,flowers
,all_F,All,tilapia,are,dogs
131,some_UI,Some,tortoises,are,reptiles
,all_UI,All,tortoises,are,reptiles
,some_F,Some,tortoises,are,weapons
,all_F,All,tortoises,are,trees
132,some_UI,Some,Toyotas,are,cars
,all_UI,All,Toyotas,are,cars
,some_F,Some,Toyotas,are,dogs
,all_F,All,Toyotas,are,birds
133,some_UI,Some,trout,are,fish
,all_UI,All,trout,are,fish
,some_F,Some,trout,are,flowers
,all_F,All,trout,are,dogs
134,some_UI,Some,tulips,are,flowers
,all_UI,All,tulips,are,flowers
,some_F,Some,tulips,are,fruit
,all_F,All,tulips,are,fish
135,some_UI,Some,tuna,are,fish
,all_UI,All,tuna,are,fish
,some_F,Some,tuna,are,flowers
,all_F,All,tuna,are,dogs
136,some_UI,Some,turtles,are,reptiles
,all_UI,All,turtles,are,reptiles
,some_F,Some,turtles,are,weapons
,all_F,All,turtles,are,trees
137,some_UI,Some,Volvos,are,cars
,all_UI,All,Volvos,are,cars
,some_F,Some,Volvos,are,dogs
,all_F,All,Volvos,are,birds
138,some_UI,Some,VWs,are,cars
,all_UI,All,VWs,are,cars
,some_F,Some,VWs,are,dogs
,all_F,All,VWs,are,birds
139,some_UI,Some,wasps,are,insects
,all_UI,All,wasps,are,insects
,some_F,Some,wasps,are,tools
,all_F,All,wasps,are,fruit
140,some_UI,Some,willows,are,trees
,all_UI,All,willows,are,trees
,some_F,Some,willows,are,reptiles
,all_F,All,willows,are,mammals
141,some_UI,Some,wirecutters,are,tools
,all_UI,All,wirecutters,are,tools
,some_F,Some,wirecutters,are,tools
,all_F,All,wirecutters,are,insects
142,some_UI,Some,wrenches,are,tools
,all_UI,All,wrenches,are,tools
,some_F,Some,wrenches,are,tools
,all_F,All,wrenches,are,insects
143,some_UI,Some,zebras,are,mammals
,all_UI,All,zebras,are,mammals
,some_F,Some,zebras,are,trees
,all_F,All,zebras,are,insects
